t 	I 	u 	w 	Ce
0.044 	168.427 	200 	44.8026 	322.045
0.0441 	168.242 	200 	44.9632 	321.695
0.0442 	168.056 	200 	45.1236 	321.343
0.0443 	167.869 	200 	45.2839 	320.987
0.0444 	167.68 	200 	45.444 	320.629
0.0445 	167.489 	200 	45.6039 	320.268
0.0446 	167.297 	200 	45.7636 	319.904
0.0447 	167.104 	200 	45.9232 	319.538
0.0448 	166.91 	200 	46.0825 	319.169
0.0449 	166.714 	200 	46.2417 	318.798
0.045 	166.517 	200 	46.4007 	318.424
0.0451 	166.318 	200 	46.5595 	318.047
0.0452 	166.118 	200 	46.7181 	317.668
0.0453 	165.917 	200 	46.8765 	317.286
0.0454 	165.715 	200 	47.0347 	316.902
0.0455 	165.511 	200 	47.1927 	316.515
0.0456 	165.306 	200 	47.3505 	316.126
0.0457 	165.1 	200 	47.5082 	315.735
0.0458 	164.892 	200 	47.6656 	315.341
0.0459 	164.684 	200 	47.8228 	314.944
0.046 	164.474 	200 	47.9799 	314.546
0.0461 	164.263 	200 	48.1367 	314.145
0.0462 	164.05 	200 	48.2933 	313.742
0.0463 	163.837 	200 	48.4498 	313.336
0.0464 	163.622 	200 	48.606 	312.929
0.0465 	163.407 	200 	48.762 	312.519
0.0466 	163.19 	200 	48.9178 	312.107
0.0467 	162.972 	200 	49.0734 	311.692
0.0468 	162.752 	200 	49.2288 	311.276
0.0469 	162.532 	200 	49.384 	310.857
0.047 	162.311 	200 	49.539 	310.436
0.0471 	162.088 	200 	49.6937 	310.014
0.0472 	161.865 	200 	49.8483 	309.589
0.0473 	161.64 	200 	50.0026 	309.162
0.0474 	161.415 	200 	50.1567 	308.733
0.0475 	161.188 	200 	50.3106 	308.302
0.0476 	160.96 	200 	50.4643 	307.869
0.0477 	160.732 	200 	50.6178 	307.434
0.0478 	160.502 	200 	50.771 	306.998
0.0479 	160.271 	200 	50.924 	306.559
0.048 	160.04 	200 	51.0768 	306.118
0.0481 	159.807 	200 	51.2294 	305.676
0.0482 	159.573 	200 	51.3818 	305.232
0.0483 	159.339 	200 	51.5339 	304.785
0.0484 	159.104 	200 	51.6858 	304.337
0.0485 	158.867 	200 	51.8375 	303.888
0.0486 	158.63 	200 	51.989 	303.436
0.0487 	158.392 	200 	52.1402 	302.983
0.0488 	158.153 	200 	52.2912 	302.528
0.0489 	157.913 	200 	52.442 	302.071
0.049 	157.672 	200 	52.5925 	301.613
0.0491 	157.43 	200 	52.7428 	301.153
0.0492 	157.187 	200 	52.8929 	300.691
0.0493 	156.944 	200 	53.0428 	300.228
0.0494 	156.7 	200 	53.1924 	299.763
0.0495 	156.455 	200 	53.3418 	299.296
0.0496 	156.209 	200 	53.4909 	298.828
0.0497 	155.962 	200 	53.6398 	298.359
0.0498 	155.715 	200 	53.7885 	297.888
0.0499 	155.466 	200 	53.9369 	297.415
0.05 	155.217 	200 	54.0851 	296.941
0.0501 	154.968 	200 	54.2331 	296.465
0.0502 	154.717 	200 	54.3808 	295.988
0.0503 	154.466 	200 	54.5283 	295.51
0.0504 	154.214 	200 	54.6755 	295.03
0.0505 	153.961 	200 	54.8225 	294.548
0.0506 	153.708 	200 	54.9693 	294.065
0.0507 	153.453 	200 	55.1158 	293.581
0.0508 	153.199 	200 	55.2621 	293.096
0.0509 	152.943 	200 	55.4081 	292.609
0.051 	152.687 	200 	55.5539 	292.121
0.0511 	152.43 	200 	55.6994 	291.632
0.0512 	152.172 	200 	55.8447 	291.141
0.0513 	151.914 	200 	55.9898 	290.649
0.0514 	151.655 	200 	56.1346 	290.156
0.0515 	151.396 	200 	56.2791 	289.662
0.0516 	151.136 	200 	56.4234 	289.166
0.0517 	150.875 	200 	56.5675 	288.669
0.0518 	150.614 	200 	56.7113 	288.171
0.0519 	150.352 	200 	56.8548 	287.672
0.052 	150.089 	200 	56.9981 	287.172
0.0521 	149.826 	200 	57.1412 	286.671
0.0522 	149.563 	200 	57.284 	286.168
0.0523 	149.298 	200 	57.4265 	285.665
0.0524 	149.034 	200 	57.5688 	285.16
0.0525 	148.768 	200 	57.7109 	284.654
0.0526 	148.503 	200 	57.8527 	284.148
0.0527 	148.236 	200 	57.9942 	283.64
0.0528 	147.969 	200 	58.1355 	283.131
0.0529 	147.702 	200 	58.2765 	282.621
0.053 	147.434 	200 	58.4172 	282.111
0.0531 	147.166 	200 	58.5578 	281.599
0.0532 	146.897 	200 	58.698 	281.086
0.0533 	146.627 	200 	58.838 	280.573
0.0534 	146.357 	200 	58.9777 	280.058
0.0535 	146.087 	200 	59.1172 	279.543
0.0536 	145.816 	200 	59.2564 	279.026
0.0537 	145.545 	200 	59.3954 	278.509
0.0538 	145.274 	200 	59.5341 	277.991
0.0539 	145.001 	200 	59.6725 	277.472
0.054 	144.729 	200 	59.8107 	276.953
0.0541 	144.456 	200 	59.9486 	276.432
0.0542 	144.183 	200 	60.0863 	275.911
0.0543 	143.909 	200 	60.2237 	275.389
0.0544 	143.635 	200 	60.3608 	274.866
0.0545 	143.36 	200 	60.4977 	274.343
0.0546 	143.085 	200 	60.6343 	273.818
0.0547 	142.81 	200 	60.7706 	273.293
0.0548 	142.535 	200 	60.9067 	272.767
0.0549 	142.259 	200 	61.0425 	272.241
0.055 	141.982 	200 	61.1781 	271.714
0.0551 	141.705 	200 	61.3134 	271.186
0.0552 	141.428 	200 	61.4484 	270.657
0.0553 	141.151 	200 	61.5831 	270.128
0.0554 	140.873 	200 	61.7176 	269.599
0.0555 	140.595 	200 	61.8518 	269.068
0.0556 	140.317 	200 	61.9858 	268.537
0.0557 	140.039 	200 	62.1195 	268.006
0.0558 	139.76 	200 	62.2529 	267.474
0.0559 	139.48 	200 	62.3861 	266.941
0.056 	139.201 	200 	62.519 	266.408
0.0561 	138.921 	200 	62.6516 	265.874
0.0562 	138.641 	200 	62.784 	265.34
0.0563 	138.361 	200 	62.916 	264.805
0.0564 	138.08 	200 	63.0479 	264.269
0.0565 	137.8 	200 	63.1794 	263.734
0.0566 	137.519 	200 	63.3107 	263.197
0.0567 	137.237 	200 	63.4417 	262.661
0.0568 	136.956 	200 	63.5725 	262.123
0.0569 	136.674 	200 	63.7029 	261.586
0.057 	136.392 	200 	63.8331 	261.048
0.0571 	136.11 	200 	63.9631 	260.509
0.0572 	135.828 	200 	64.0927 	259.97
0.0573 	135.545 	200 	64.2221 	259.431
0.0574 	135.262 	200 	64.3513 	258.891
0.0575 	134.98 	200 	64.4801 	258.351
0.0576 	134.696 	200 	64.6087 	257.811
0.0577 	134.413 	200 	64.737 	257.27
0.0578 	134.13 	200 	64.865 	256.729
0.0579 	133.846 	200 	64.9928 	256.188
0.058 	133.562 	200 	65.1203 	255.646
0.0581 	133.278 	200 	65.2475 	255.104
0.0582 	132.994 	200 	65.3745 	254.562
0.0583 	132.71 	200 	65.5012 	254.019
0.0584 	132.426 	200 	65.6276 	253.477
0.0585 	132.141 	200 	65.7537 	252.933
0.0586 	131.857 	200 	65.8796 	252.39
0.0587 	131.572 	200 	66.0052 	251.847
0.0588 	131.287 	200 	66.1305 	251.303
0.0589 	131.003 	200 	66.2556 	250.759
0.059 	130.718 	200 	66.3803 	250.215
0.0591 	130.432 	200 	66.5048 	249.67
0.0592 	130.147 	200 	66.6291 	249.126
0.0593 	129.862 	200 	66.753 	248.581
0.0594 	129.577 	200 	66.8767 	248.036
0.0595 	129.291 	200 	67.0001 	247.491
0.0596 	129.006 	200 	67.1233 	246.946
0.0597 	128.72 	200 	67.2461 	246.401
0.0598 	128.435 	200 	67.3687 	245.856
0.0599 	128.149 	200 	67.491 	245.31
0.06 	127.863 	200 	67.6131 	244.764
0.0601 	127.577 	200 	67.7349 	244.219
0.0602 	127.292 	200 	67.8564 	243.673
0.0603 	127.006 	200 	67.9776 	243.127
0.0604 	126.72 	200 	68.0985 	242.581
0.0605 	126.434 	200 	68.2192 	242.035
0.0606 	126.148 	200 	68.3396 	241.489
0.0607 	125.862 	200 	68.4597 	240.943
0.0608 	125.577 	200 	68.5796 	240.397
0.0609 	125.291 	200 	68.6992 	239.851
